Profession,Language,Translated Job Description,Translated Resume
Office Clerks,zh,通过执行一般文书工作来支持办公室运营，从接听电话到维护档案。促进内部和外部沟通、分发信件和管理物资。从各种计算机系统输入、更新和检索信息。与多个部门合作以简化管理流程。,John Doe：专职办公室文员，在Dynamic Corp工作了6年，专门研究行政效率。管理了一次系统大修，将数据检索速度提高了 25%。精通高级办公软件、处理沟通和简化工作流程。因其卓越的奉献精神两次荣获 “本月最佳员工” 奖。
Office Clerks,es,"Apoye las operaciones de la oficina realizando tareas administrativas generales, desde contestar teléfonos hasta mantener archivos. Facilite la comunicación interna y externa, distribuya la correspondencia y gestione los suministros. Introduzca, actualice y recupere información de varios sistemas informáticos. Colabore con varios departamentos para agilizar los procesos administrativos.","John Doe: empleado de oficina dedicado con 6 años en Dynamic Corp, especializado en eficiencia administrativa. Gestioné una revisión del sistema que aumentó la velocidad de recuperación de datos en un 25%. Experto en software de oficina avanzado, gestiona la comunicación y optimiza los flujos de trabajo. Galardonado dos veces como «Empleado del mes» por su dedicación excepcional."
Office Clerks,hi,"फोन का जवाब देने से लेकर फाइलों को बनाए रखने तक, सामान्य लिपिक कर्तव्यों का पालन करके कार्यालय संचालन में सहायता करें। आंतरिक और बाहरी संचार को सुगम बनाना, पत्राचार वितरित करना और आपूर्ति का प्रबंधन करना। विभिन्न कंप्यूटर सिस्टम से जानकारी इनपुट करें, अपडेट करें और पुनर्प्राप्त करें। व्यवस्थापकीय प्रक्रियाओं को कारगर बनाने के लिए कई विभागों के साथ सहयोग करें।","जॉन डो: डायनामिक कॉर्प में 6 साल के साथ समर्पित कार्यालय क्लर्क, जो प्रशासनिक दक्षता में विशेषज्ञता रखता है। एक सिस्टम ओवरहाल का प्रबंधन किया, जिससे डेटा पुनर्प्राप्ति गति में 25% की वृद्धि हुई। एडवांस ऑफ़िस सॉफ़्टवेयर, संचार को संभालने और वर्कफ़्लो को सुव्यवस्थित करने में कुशल। असाधारण समर्पण के लिए दो बार 'एम्प्लॉई ऑफ द मंथ' से सम्मानित किया गया।"
Office Clerks,ar,دعم عمليات المكتب من خلال أداء الواجبات الكتابية العامة، من الرد على الهواتف إلى الحفاظ على الملفات. تسهيل الاتصال الداخلي والخارجي وتوزيع المراسلات وإدارة الإمدادات. إدخال المعلومات وتحديثها واسترجاعها من أنظمة الكمبيوتر المختلفة. التعاون مع أقسام متعددة لتبسيط العمليات الإدارية.,جون دو: كاتب مكتب متخصص يعمل لمدة 6 سنوات في Dynamic Corp، ومتخصص في الكفاءة الإدارية. تمت إدارة إصلاح النظام الذي أدى إلى زيادة سرعة استرداد البيانات بنسبة 25٪. ماهر في برامج المكتب المتقدمة والتعامل مع الاتصالات وتبسيط سير العمل. حصل مرتين على جائزة «موظف الشهر» لتفانيه الاستثنائي.
Office Clerks,pt,"Apoie as operações do escritório executando tarefas administrativas gerais, desde atender telefones até manter arquivos. Facilite a comunicação interna e externa, distribua correspondência e gerencie suprimentos. Insira, atualize e recupere informações de vários sistemas de computador. Colabore com vários departamentos para agilizar os processos administrativos.","John Doe: Escriturário dedicado com 6 anos na Dynamic Corp, especializado em eficiência administrativa. Gerenciou uma revisão do sistema que aumentou a velocidade de recuperação de dados em 25%. Hábil em software de escritório avançado, lidando com comunicação e simplificando fluxos de trabalho. Duas vezes premiado como “Funcionário do Mês” por dedicação excepcional."
Office Clerks,bn,"ফোনের উত্তর দেওয়া থেকে শুরু করে ফাইল রক্ষণাবেক্ষণ পর্যন্ত সাধারণ ক্লেরিকাল দায়িত্ব সম্পাদন করে অফিস অ অভ্যন্তরীণ এবং বাহ্যিক যোগাযোগের সুবিধা, চিঠিপত্র বিতরণ বিভিন্ন কম্পিউটার সিস্টেম থেকে তথ্য ইনপুট, আপডেট এবং পুনরুদ্ধার করুন। প্রশাসনিক প্রক্রিয়াগুলিকে সুবিধাজনক করতে একাধিক বিভাগের সাথে","জন ডো: ডাইনামিক কর্পে 6 বছর ধরে ডেডিকেটেড অফিস ক্লার্ক, প্রশাসনিক দক্ষতায় বিশেষজ্ঞ একটি সিস্টেম ওভারহোল পরিচালনা করেছিল যা ডেটা পুনরুদ্ধার গতি 25% বৃদ্ধি করেছিল। উন্নত অফিস সফ্টওয়্যার, যোগাযোগ হ্যান্ডলিং এবং ওয়ার্কফ্লোকে সুবিধা করার ক্ষেত্রে ব্যতিক্রমী উত্সর্গের জন্য দুবার 'মাসের কর্মচারী' পুরস্কার দেওয়া হয়।"
Office Clerks,ru,"Поддерживайте работу офиса, выполняя общие канцелярские обязанности, от ответа на телефонные звонки до хранения файлов. Облегчите внутреннюю и внешнюю связь, распределяйте корреспонденцию и управляйте поставками. Ввод, обновление и извлечение информации из различных компьютерных систем. Сотрудничайте с несколькими отделами для оптимизации административных процессов.","Джон Доу: специализированный офисный клерк с 6-летним стажем работы в Dynamic Corp. Специализируется на административной эффективности. Руководил капитальным ремонтом системы, который повысил скорость извлечения данных на 25%. Обладает навыками работы с передовым офисным программным обеспечением, управления связью и оптимизации рабочих процессов. Дважды награжден званием «Сотрудник месяца» за исключительную преданность делу."
Office Clerks,ja,電話への応答からファイルの管理まで、一般的な事務業務を行うことでオフィス業務をサポートします。社内外のコミュニケーションを促進し、通信を配信し、物資を管理します。さまざまなコンピュータシステムからの情報の入力、更新、および取得。複数の部門と協力して管理プロセスを合理化します。,John Doe：Dynamic Corpで6年間勤務した専任のオフィスクラーク。管理の効率化を専門としています。システムオーバーホールを管理し、データ取得速度を 25% 向上させました。高度なオフィスソフトウェア、コミュニケーション処理、ワークフローの効率化に長けている。並外れた献身が認められ、「今月の従業員」を2度受賞。
Office Clerks,de,"Unterstützen Sie den Bürobetrieb, indem Sie allgemeine Büroarbeiten erledigen, von der Beantwortung von Telefonen bis hin zur Verwaltung von Dateien. Erleichtern Sie die interne und externe Kommunikation, verteilen Sie die Korrespondenz und verwalten Sie die Lieferungen. Informationen von verschiedenen Computersystemen eingeben, aktualisieren und abrufen. Arbeiten Sie mit mehreren Abteilungen zusammen, um die Verwaltungsprozesse zu rationalisieren.","John Doe: Engagierter Büroangestellter mit 6 Jahren bei Dynamic Corp, spezialisiert auf administrative Effizienz. Verwaltete eine Systemüberholung, die die Geschwindigkeit beim Datenabruf um 25% erhöhte. Gute Kenntnisse in fortschrittlicher Bürosoftware, Kommunikationsmanagement und Rationalisierung von Arbeitsabläufen. Zweimal als „Mitarbeiter des Monats“ für außergewöhnliches Engagement ausgezeichnet."
Food Service Workers,en,"Prepare and serve food items in adherence to health and safety standards. Take customer orders, ensuring accuracy and timely delivery. Maintain cleanliness of food preparation and serving areas. Collaborate with kitchen staff to manage inventory and optimize food quality.","Lucia Martinez: Accomplished Chef with 7 years at Five-Star Bistro. Created a seasonal menu that boosted restaurant ratings by 2 stars. Led a team of 15 staff, achieving the lowest staff turnover rate. Known for innovative fusion dishes and a commitment to culinary excellence."
Food Service Workers,zh,按照健康和安全标准准备和供应食品。接受客户订单，确保准确性和及时交货。保持食物准备和上菜区域的清洁。与厨房工作人员合作，管理库存并优化食品质量。,露西亚·马丁内斯：在五星小酒馆工作了7年的杰出厨师。创建了季节性菜单，将餐厅评分提高了 2 星。领导一支由15名员工组成的团队，实现了最低的员工流失率。以创新的融合菜肴和对卓越烹饪的承诺而闻名。
Food Service Workers,es,"Prepare y sirva los alimentos de acuerdo con las normas de salud y seguridad. Acepte los pedidos de los clientes, garantizando la precisión y la entrega puntual. Mantenga la limpieza de las áreas de preparación y servicio de los alimentos. Colabore con el personal de cocina para gestionar el inventario y optimizar la calidad de los alimentos.","Lucia Martinez: chef consumada con 7 años en Five-Star Bistro. Creó un menú de temporada que aumentó las calificaciones de los restaurantes en 2 estrellas. Dirigió un equipo de 15 empleados, logrando la tasa de rotación de personal más baja. Conocido por sus innovadores platos de fusión y su compromiso con la excelencia culinaria."
Food Service Workers,hi,स्वास्थ्य और सुरक्षा मानकों का पालन करते हुए खाद्य पदार्थों को तैयार करें और परोसें। सटीकता और समय पर डिलीवरी सुनिश्चित करते हुए ग्राहक के ऑर्डर लें। भोजन तैयार करने और परोसने वाले क्षेत्रों की साफ-सफाई बनाए रखें। इन्वेंट्री का प्रबंधन करने और भोजन की गुणवत्ता को अनुकूलित करने के लिए किचन स्टाफ के साथ सहयोग करें।,"लूसिया मार्टिनेज: फाइव-स्टार बिस्ट्रो में 7 साल के साथ निपुण शेफ। एक मौसमी मेनू बनाया, जिसने रेस्तरां की रेटिंग में 2 स्टार की वृद्धि की। कर्मचारियों की सबसे कम टर्नओवर दर हासिल करते हुए, 15 कर्मचारियों की एक टीम का नेतृत्व किया। नवोन्मेषी फ़्यूज़न व्यंजनों और पाक कला की उत्कृष्टता के प्रति प्रतिबद्धता के लिए जाना जाता है।"
Food Service Workers,ar,إعداد وتقديم المواد الغذائية مع الالتزام بمعايير الصحة والسلامة. خذ طلبات العملاء، مع ضمان الدقة والتسليم في الوقت المناسب. الحفاظ على نظافة مناطق إعداد الطعام وتقديمه. تعاون مع موظفي المطبخ لإدارة المخزون وتحسين جودة الطعام.,لوسيا مارتينيز: طاهية بارعة أمضت 7 سنوات في مطعم خمس نجوم في بيسترو. تم إنشاء قائمة موسمية عززت تقييمات المطاعم بمقدار نجمتين. قاد فريقًا من 15 موظفًا، وحقق أقل معدل دوران للموظفين. يشتهر بالأطباق المبتكرة والالتزام بالتميز في الطهي.
Food Service Workers,pt,"Prepare e sirva alimentos de acordo com os padrões de saúde e segurança. Receba os pedidos dos clientes, garantindo precisão e entrega pontual. Mantenha a limpeza das áreas de preparação e serviço de alimentos. Colabore com a equipe da cozinha para gerenciar o inventário e otimizar a qualidade dos alimentos.","Lucia Martinez: Chef talentosa com 7 anos no Five-Star Bistro. Criou um menu sazonal que aumentou as avaliações dos restaurantes em 2 estrelas. Liderou uma equipe de 15 funcionários, alcançando a menor taxa de rotatividade de pessoal. Conhecida por pratos de fusão inovadores e pelo compromisso com a excelência culinária."
Food Service Workers,bn,স্বাস্থ্য এবং সুরক্ষা মান মেনে চলতে খাদ্য সামগ্রী প্রস্তুত করুন এবং পরিবেশন করুন। নির্ভুলতা এবং সময়মত বিতরণ নিশ্চিত করে গ্রাহকের অর্ডার খাদ্য প্রস্তুতি এবং পরিবেশন ক্ষেত্রগুলির পরিষ্কারতা বজায় ইনভেন্টরি পরিচালনা করতে এবং খাবারের গুণমান অপ্টিমাইজ করতে রান্নাঘর,লুসিয়া মার্টিনেজ: ফাইভ-স্টার বিস্ট্রোতে 7 বছর ধরে সম্পন্ন শেফ। একটি মৌসুমী মেনু তৈরি করেছিল যা রেস্তোরাঁর রেটিংগুলিকে 2 তারকা দ্বারা সর্বনিম্ন কর্মীদের টার্নওভারের হার অর্জন করে 15 জন কর্মীর একটি দলের নেতৃত্ব দিয়েছ উদ্ভাবনী ফিউশন ডিশ এবং রান্নার শ্রেষ্ঠত্বের প্রতি প্রতিশ্রুতির জন্য পরিচিত।
Food Service Workers,ru,"Готовьте и подавайте продукты в соответствии со стандартами гигиены и безопасности. Принимайте заказы клиентов, обеспечивая точность и своевременность доставки. Поддерживайте чистоту в зонах приготовления и подачи пищи. Сотрудничайте с кухонным персоналом для управления запасами и оптимизации качества продуктов питания.","Люсия Мартинес: опытный шеф-повар с 7-летним стажем работы в пятизвездочном бистро. Создала сезонное меню, которое повысило рейтинг ресторанов на 2 звезды. Возглавлял команду из 15 сотрудников, добившись самой низкой текучести кадров. Известен своими инновационными блюдами в стиле фьюжн и стремлением к кулинарному совершенству."
Food Service Workers,ja,健康と安全の基準に従って食品を準備し、提供します。顧客の注文を受け付け、正確でタイムリーな配送を確保します。調理エリアとサービングエリアを清潔に保つ。キッチンスタッフと協力して在庫を管理し、食品の品質を最適化します。,ルチア・マルティネス：5つ星ビストロで7年間働いた熟練シェフ。レストランの評価を2つ上げた季節限定のメニューを考案しました。15人のスタッフからなるチームを率い、スタッフの離職率を最も低く抑えました。革新的なフュージョン料理と優れた料理へのこだわりで知られています。
Food Service Workers,de,"Bereiten Sie Lebensmittel unter Einhaltung der Gesundheits- und Sicherheitsstandards zu und servieren Sie sie. Nehmen Sie Kundenbestellungen entgegen und sorgen Sie für Genauigkeit und pünktliche Lieferung. Achten Sie auf die Sauberkeit der Bereiche für die Zubereitung und das Servieren von Speisen. Arbeiten Sie mit dem Küchenpersonal zusammen, um das Inventar zu verwalten und die Lebensmittelqualität zu optimieren.","Lucia Martinez: Erfolgreicher Koch mit 7 Jahren im Fünf-Sterne-Bistro. Kreierte ein saisonales Menü, das die Restaurantbewertungen um 2 Sterne erhöhte. Leitete ein Team von 15 Mitarbeitern und erzielte dabei die niedrigste Fluktuationsrate. Bekannt für innovative Fusionsgerichte und ein Bekenntnis zu kulinarischer Exzellenz."
Registered Nurses,en,"Provide direct patient care, from administering medications to monitoring vital signs. Collaborate with doctors and other healthcare professionals to develop and implement patient care plans. Educate patients and their families on health conditions, preventive care, and post-treatment wellness. Document patient interactions and update medical records in adherence to regulations.","Brian Lee: Registered Nurse with 8 years in the Critical Care Unit at HealthFirst Hospital. Oversaw patient care for high-risk patients, reducing complications by 20%. Trained over 30 nurses in best care practices. Recipient of the 'Nurse of the Year' award in 2022."
Registered Nurses,zh,提供直接的患者护理，从给药到监测生命体征。与医生和其他医疗保健专业人员合作，制定和实施患者护理计划。对患者及其家属进行健康状况、预防保健和治疗后健康方面的教育。根据法规记录患者互动并更新病历。,Brian Lee：在HealthFirst医院重症监护室工作了8年的注册护士。监督高危患者的患者护理，将并发症减少20％。对30多名护士进行了最佳护理实践培训。2022 年获得 “年度护士” 奖。
Registered Nurses,es,"Brinde atención directa al paciente, desde la administración de medicamentos hasta el control de los signos vitales. Colabore con los médicos y otros profesionales de la salud para desarrollar e implementar planes de atención al paciente. Informe a los pacientes y sus familias sobre las afecciones de salud, la atención preventiva y el bienestar posterior al tratamiento. Documente las interacciones de los pacientes y actualice los registros médicos de conformidad con las normas.",Brian Lee: enfermero registrado con 8 años en la Unidad de Cuidados Intensivos del Hospital HealthFirst. Supervisó la atención de los pacientes de alto riesgo y redujo las complicaciones en un 20%. Capacitó a más de 30 enfermeras en las mejores prácticas de atención. Recibió el premio a la «Enfermera del año» en 2022.
Registered Nurses,hi,"दवा देने से लेकर महत्वपूर्ण संकेतों की निगरानी तक, सीधे रोगी की देखभाल करें। रोगी देखभाल योजनाओं को विकसित करने और लागू करने के लिए डॉक्टरों और अन्य स्वास्थ्य देखभाल पेशेवरों के साथ सहयोग करें। रोगियों और उनके परिवारों को स्वास्थ्य स्थितियों, निवारक देखभाल और उपचार के बाद के स्वास्थ्य के बारे में शिक्षित करें। विनियमों का पालन करते हुए मरीजों की बातचीत का दस्तावेजीकरण करें और मेडिकल रिकॉर्ड अपडेट करें।","ब्रायन ली: हेल्थफर्स्ट हॉस्पिटल में क्रिटिकल केयर यूनिट में 8 साल के साथ रजिस्टर्ड नर्स। उच्च जोखिम वाले रोगियों के लिए रोगी की देखभाल का निरीक्षण किया, जटिलताओं को 20% तक कम किया। सर्वोत्तम देखभाल पद्धतियों में 30 से अधिक नर्सों को प्रशिक्षित किया। 2022 में 'नर्स ऑफ़ द ईयर' पुरस्कार से सम्मानित।"
Registered Nurses,ar,توفير رعاية مباشرة للمرضى، من إعطاء الأدوية إلى مراقبة العلامات الحيوية. التعاون مع الأطباء وغيرهم من المتخصصين في الرعاية الصحية لتطوير وتنفيذ خطط رعاية المرضى. تثقيف المرضى وعائلاتهم حول الظروف الصحية والرعاية الوقائية والعافية بعد العلاج. توثيق تفاعلات المرضى وتحديث السجلات الطبية وفقًا للوائح.,بريان لي: ممرض مسجل لديه 8 سنوات في وحدة الرعاية الحرجة في مستشفى HealthFirst. أشرف على رعاية المرضى المعرضين لمخاطر عالية، مما قلل المضاعفات بنسبة 20٪. دربت أكثر من 30 ممرضة في أفضل ممارسات الرعاية. حاصلة على جائزة «ممرضة العام» في عام 2022.
Registered Nurses,pt,"Ofereça atendimento direto ao paciente, desde a administração de medicamentos até o monitoramento dos sinais vitais. Colabore com médicos e outros profissionais de saúde para desenvolver e implementar planos de atendimento ao paciente. Eduque os pacientes e suas famílias sobre condições de saúde, cuidados preventivos e bem-estar pós-tratamento. Documente as interações dos pacientes e atualize os registros médicos de acordo com os regulamentos.","Brian Lee: Enfermeira registrada com 8 anos na Unidade de Terapia Intensiva do Hospital HealthFirst. Supervisionou o atendimento aos pacientes de alto risco, reduzindo as complicações em 20%. Treinei mais de 30 enfermeiros nas melhores práticas de cuidado. Recebedora do prêmio “Enfermeira do Ano” em 2022."
Registered Nurses,bn,"ওষুধ প্রদান থেকে শুরু করে গুরুত্বপূর্ণ লক্ষণ পর্যবেক্ষণ পর্যন্ত সরাসরি রোগীর যত্ন প্রদান করুন রোগীর যত্ন পরিকল্পনা বিকাশ ও বাস্তবায়নের জন্য ডাক্তার এবং অন্যান্য স্বাস্থ্যসেবা পেশাদ রোগী এবং তাদের পরিবারগুলিকে স্বাস্থ্যের অবস্থা, প্রতিরোধমূলক যত্ন এবং চিকিত্সার পরবর্তী সুস্থতা সম্পর্কে শি রোগীর ইন্টারঅ্যাকশনকে নথিভুক্ত করুন এবং বিধি মেনে চলার জন্য চিকিৎ","ব্রায়ান লি: হেলথফার্স্ট হাসপাতালের ক্রিটিকাল কেয়ার ইউনিটে 8 বছর নিবন্ধিত নার্স। উচ্চ ঝুঁকিপূর্ণ রোগীদের জন্য রোগীর যত্নের তদারকি করেছিল, জটিলতা 20% হ্র সেরা যত্ন অনুশীলনে 30 টিরও বেশি নার্সকে প্রশিক্ষিত 2022 সালে 'নার্স অফ দ্য ইয়ার' পুরস্কার প্রাপক।"
Registered Nurses,ru,"Обеспечьте непосредственный уход за пациентами, начиная с приема лекарств и заканчивая мониторингом жизненно важных показателей. Сотрудничайте с врачами и другими медицинскими работниками для разработки и реализации планов ухода за пациентами. Просвещайте пациентов и их семьи по вопросам состояния здоровья, профилактического ухода и оздоровления после лечения. Документируйте взаимодействие с пациентами и обновляйте медицинские записи в соответствии с нормативными требованиями.","Брайан Ли: дипломированная медсестра с 8-летним стажем в отделении интенсивной терапии больницы HealthFirst. Контролировал уход за пациентами из группы высокого риска, сокращая количество осложнений на 20%. Обучил более 30 медсестер передовым методам оказания медицинской помощи. Лауреат премии «Медсестра года» в 2022 году."
Registered Nurses,ja,投薬からバイタルサインのモニタリングまで、患者を直接ケアします。医師や他の医療専門家と協力して、患者ケアプランを策定し実施する。患者とその家族に、健康状態、予防医療、治療後の健康状態について教育する。患者とのやりとりを記録し、規制に従って医療記録を更新する。,ブライアン・リー：ヘルスファースト病院の救命救急室で8年間勤務した登録看護師。高リスク患者の治療を監督し、合併症を 20% 軽減しました。30 人以上の看護師にベスト・ケア・プラクティスの研修を行いました。2022年に「ナースオブザイヤー」賞を受賞しました。
Registered Nurses,de,"Sorgen Sie für eine direkte Patientenversorgung, von der Verabreichung von Medikamenten bis zur Überwachung der Vitalfunktionen. Arbeiten Sie mit Ärzten und anderen Angehörigen der Gesundheitsberufe zusammen, um Pläne für die Patientenversorgung zu entwickeln und umzusetzen. Informieren Sie Patienten und ihre Familien über Gesundheitsprobleme, Vorsorge und Wohlbefinden nach der Behandlung. Dokumentieren Sie Patienteninteraktionen und aktualisieren Sie die Patientenakten unter Einhaltung der Vorschriften.","Brian Lee: Krankenschwester mit 8 Jahren Erfahrung in der Intensivstation des HealthFirst Hospital. Beaufsichtigte die Patientenversorgung von Hochrisikopatienten, wodurch die Komplikationen um 20% reduziert wurden. Über 30 Krankenschwestern wurden in den besten Pflegepraktiken geschult. Empfänger der Auszeichnung „Krankenschwester des Jahres“ im Jahr 2022."
Elementary School Teachers,en,"Develop and deliver lesson plans catered to young learners across various subjects. Evaluate student performance through assessments, providing feedback and guidance. Foster a positive, inclusive, and stimulating learning environment. Engage with parents, school staff, and administrators to support student growth and address concerns.","Farah Ali: Elementary Teacher with 10 years at Bright Futures Academy. Implemented a digital literacy program, improving student tech proficiency by 30%. Mentored five junior teachers in curriculum development. Awarded 'Teacher of the Year' thrice for outstanding commitment to student growth."
Elementary School Teachers,zh,制定和提供适合年轻学习者的各种科目的教学计划。通过评估、提供反馈和指导来评估学生的表现。营造一个积极、包容和激励性的学习环境。与家长、学校工作人员和管理人员接触，以支持学生成长并解决问题。,法拉·阿里：在 Bright Futures Academy 工作了 10 年的小学教师。实施了数字素养计划，将学生的技术熟练程度提高了30％。为五名初级教师提供了课程开发方面的指导。三度荣获 “年度最佳教师” 奖，以表彰其对学生成长的杰出贡献。
